,Churn,Sexo_Biologico,Tiene_Tercera_Edad,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Tiene_Telefonia,Tiene_Multiples_Lineas,Servicio_Internet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Tipo_Contrato,PaperlessBilling,Metodo_Pago,Cuentas_Mensual,Cuentas_Total,Cuentas_Diarias,Tiene_Internet,Nro_Servicios
14,0,0,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,1.5,1,5
15,0,0,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,3.19,1,6
16,0,0,0,1,1,34,0,0,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,2.04,1,6
17,0,0,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.4,1,3
18,1,1,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,2.09,1,5
19,1,1,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.84,1,1
20,0,0,1,1,0,50,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,1306.3,0.84,0,2
21,1,0,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,3.14,1,6
22,0,0,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,2.79,1,4
23,0,0,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,57.2,0.66,0,1
24,1,0,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,76.35,0.68,0,1
25,1,0,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.02,1,2
26,0,0,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,3.46,1,7
27,0,1,0,1,1,54,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090.6,0.68,0,1
28,0,1,0,0,0,26,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471.85,0.65,0,1
29,0,0,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396.9,0.66,0,1
31,0,1,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,3.04,1,4
32,0,0,0,1,0,49,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900.9,0.68,0,1
33,0,1,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,3.86,1,9
34,0,0,0,0,0,67,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,1343.4,0.68,0,1
35,0,1,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,1.31,1,4
36,0,0,0,0,1,43,1,1,No,0,0,0,0,0,0,Two year,1,Electronic check,25.1,1070.15,0.84,0,2
37,0,0,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.99,1,5
38,0,0,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,3.16,1,6
39,0,0,0,1,1,12,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.5,0.68,0,1
40,0,1,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.52,1,3
41,1,1,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1.64,1,3
42,0,0,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,2.61,1,7
43,0,1,0,1,1,25,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,630.6,0.85,0,2
44,0,1,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.05,1,5
45,0,1,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.5,1,5
46,0,1,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,2.84,1,8
47,0,0,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,1.72,1,3
48,0,0,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.31,1,6
49,0,1,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.48,1,2
50,0,1,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,3.14,1,5
51,0,1,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,2.71,1,8
52,0,0,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.33,1,6
53,0,0,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,3.05,1,4
54,1,1,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.48,1,7
55,1,0,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,3.17,1,5
56,0,0,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,1.68,1,3
57,0,1,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,2.15,1,5
58,0,1,0,0,0,27,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.4,529.8,0.65,0,1
59,0,1,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,3.49,1,7
60,0,0,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,3.65,1,8
61,0,1,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,1.68,1,3
62,0,1,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.38,1,6
63,0,0,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,3.87,1,9
64,1,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.85,19.85,0.66,0,1
65,1,1,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,3.32,1,6
66,0,1,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,3.13,1,5
67,0,1,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,3.03,1,5
68,1,1,0,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,2.81,1,8
69,0,0,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,1.94,1,6
70,0,0,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,3.58,1,7
71,0,0,0,1,0,10,1,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0.66,0,1
72,1,1,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,3.71,1,8
73,1,1,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.34,1,4
74,0,0,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,2.86,1,4
76,0,1,0,0,0,50,0,0,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,1.18,1,3
77,1,0,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,2.46,1,3
78,0,0,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,2.94,1,9
79,1,1,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,3.38,1,6
80,0,0,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,1.53,1,4
81,0,1,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,3.16,1,5
82,0,1,0,1,1,44,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),20.5,865.05,0.68,0,1
83,0,1,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,2.98,1,5
84,1,0,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,2.88,1,5
85,0,0,1,0,0,44,1,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,2.49,1,6
86,1,0,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,2.99,1,5
87,0,1,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,3.66,1,8
88,1,0,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,2.67,1,4
89,1,0,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,63.75,0.66,0,1
90,0,0,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,3.01,1,5
91,0,0,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,2.88,1,5
92,0,1,0,0,0,26,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,20.3,511.25,0.68,0,1
93,0,0,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,3.38,1,6
94,1,1,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,3.16,1,5
95,1,0,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,2.36,1,2
97,1,1,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,1.81,1,4
99,0,0,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,3.83,1,9
100,0,0,0,0,0,24,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.55,470.2,0.65,0,1
101,0,0,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,2.9,1,4
102,0,1,0,1,1,71,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.35,1847.55,0.85,0,2
103,0,1,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,3.66,1,8
104,0,0,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,58.0,0.66,0,1
105,0,1,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,2.91,1,5
106,0,1,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,3.6,1,8
107,0,1,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,3.88,1,9
108,0,1,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,2.97,1,4
109,0,0,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,2.48,1,3
110,0,1,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.05,33.7,0.67,0,1
111,0,0,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,1.17,1,3
112,0,1,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,2.49,1,6
113,1,0,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,3.52,1,7
114,1,1,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,2.84,1,4
115,0,0,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,2.51,1,3
116,1,0,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,2.81,1,4
117,0,0,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,2.82,1,5
118,0,0,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,3.41,1,6
119,1,0,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,3.85,1,9
120,1,1,0,0,0,25,1,1,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),25.3,676.35,0.84,0,2
121,0,0,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.25,864.2,0.64,0,1
122,0,0,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049.5,3.82,1,9
123,1,0,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,3.5,1,7
124,0,0,0,1,1,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.4,198.1,0.65,0,1
125,0,0,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.85,1.68,1,4
126,0,0,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039.3,1.93,1,6
127,0,1,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.6,2.81,1,5
128,0,1,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113.75,3.35,1,6
129,0,1,0,1,0,30,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.8,576.65,0.66,0,1
130,1,1,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,2.83,1,5
131,1,1,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,167.3,2.86,1,4
132,0,1,0,0,1,10,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.95,219.5,0.66,0,1
133,0,1,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,273.4,2.51,1,3
134,0,1,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555.05,1.63,1,4
135,1,1,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,223.15,1.57,1,3
136,0,1,0,1,1,8,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.15,165.5,0.67,0,1
137,0,0,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,89.3,1.48,1,2
138,0,1,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.05,2.81,1,4
139,0,1,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144.6,1.98,1,5
140,0,1,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908.25,2.32,1,7
141,0,1,1,1,0,63,0,0,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298.9,1.2,1,3
142,0,1,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789.2,1.89,1,6
143,1,1,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,75.9,2.53,1,3
144,0,0,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765.0,2.64,1,4
145,0,0,0,1,1,48,0,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2196.3,1.5,1,4
146,1,0,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85.55,2.85,1,4
147,1,1,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.65,3.11,1,5
148,0,0,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,3.66,1,8
149,0,1,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339.3,2.99,1,9
150,0,0,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.6,2.81,1,5
151,0,0,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733.0,3.09,1,9
152,0,1,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,19.7,0.66,0,1
153,0,0,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,50.1,1.67,1,3
154,0,0,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.85,3.08,1,6
155,0,0,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Two year,0,Electronic check,79.65,3870.3,2.66,1,7
156,0,0,0,0,0,72,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,109.9,7624.2,3.66,1,8
157,0,1,0,1,0,52,1,1,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),81.4,4354.45,2.71,1,8
158,0,0,0,1,1,67,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3431.75,1.68,1,3
159,1,0,0,1,1,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,2.7,1,3
160,0,0,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,2.08,1,5
161,1,0,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,2.51,1,3
162,0,1,0,0,0,3,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,0,Electronic check,90.4,268.45,3.01,1,5
163,1,1,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.5,2.86,1,4
164,1,0,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Month-to-month,1,Mailed check,72.9,651.4,2.43,1,6
165,0,1,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Two year,1,Credit card (automatic),70.5,3486.65,2.35,1,6
166,0,0,0,1,1,71,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.1,1389.6,0.67,0,1
167,1,1,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.35,2.5,1,3
168,0,0,0,1,1,16,1,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,3.36,1,6
169,0,0,0,1,1,67,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,6717.9,3.52,1,7
170,0,1,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),114.3,8058.55,3.81,1,9
171,1,0,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.75,58.85,0.66,0,1
172,0,1,0,1,1,23,1,1,No,0,0,0,0,0,0,One year,0,Mailed check,24.35,538.5,0.81,0,2
173,0,1,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.85,5102.35,2.33,1,7
174,0,1,0,1,1,7,0,0,DSL,1,1,1,0,1,1,Month-to-month,0,Mailed check,58.85,465.7,1.96,1,6
176,0,1,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Month-to-month,1,Electronic check,54.4,475.1,1.81,1,3
177,0,1,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Two year,0,Bank transfer (automatic),50.55,3364.55,1.68,1,4
178,1,1,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,0.7,0,1
179,1,1,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,3.46,1,7
180,0,1,0,1,0,63,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.95,1234.8,0.66,0,1
181,0,0,1,1,1,12,0,0,DSL,0,0,0,1,0,0,Month-to-month,1,Mailed check,29.3,355.9,0.98,1,2
182,0,1,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Credit card (automatic),54.75,1510.3,1.82,1,4
183,0,0,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Month-to-month,0,Electronic check,60.55,1982.6,2.02,1,5
184,0,0,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Month-to-month,1,Electronic check,86.2,4524.05,2.87,1,8
185,1,1,0,0,0,1,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,95.45,3.18,1,5
186,0,1,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Month-to-month,1,Credit card (automatic),63.95,318.1,2.13,1,5
187,0,1,0,0,0,19,1,0,DSL,0,1,0,1,0,1,One year,1,Bank transfer (automatic),65.35,1231.85,2.18,1,5
188,0,1,0,1,1,52,0,0,DSL,0,1,1,1,1,0,Two year,0,Mailed check,50.2,2554.0,1.67,1,5
189,0,0,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),63.8,4684.3,2.13,1,7
190,0,1,0,0,0,32,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.05,614.45,0.67,0,1
191,1,0,0,1,0,8,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,101.15,842.9,3.37,1,6
192,0,1,0,0,0,41,1,1,DSL,0,0,1,0,0,1,One year,0,Mailed check,65.0,2531.8,2.17,1,5
193,0,1,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.25,86.05,0.64,0,1
194,0,0,0,0,1,11,0,0,DSL,1,0,0,1,0,0,One year,1,Mailed check,36.05,402.6,1.2,1,3
195,1,1,0,0,0,5,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,96.1,453.4,3.2,1,5
196,0,0,0,0,0,16,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.05,326.65,0.64,0,1
197,0,1,1,0,0,71,1,1,Fiber optic,0,1,0,1,1,1,One year,0,Bank transfer (automatic),105.75,7382.85,3.52,1,7
198,0,0,0,0,0,11,0,0,DSL,0,1,1,1,0,0,One year,1,Credit card (automatic),40.4,422.6,1.35,1,4
199,1,0,0,1,1,61,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.15,6010.05,3.3,1,6
200,0,0,0,1,0,71,1,0,DSL,1,1,1,1,1,1,One year,1,Bank transfer (automatic),84.8,6046.1,2.83,1,8
201,0,1,0,0,0,9,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,178.8,0.66,0,1
202,0,0,0,0,0,6,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.45,314.6,1.65,1,3
203,1,0,0,0,0,26,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),88.8,2274.35,2.96,1,4
204,0,0,0,0,0,6,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,55.15,322.9,1.84,1,4
205,0,1,0,0,0,11,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,0,Electronic check,84.8,888.75,2.83,1,4
206,1,1,0,1,0,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.55,80.55,2.68,1,3
